operation,dtype,method,additional_mse,absolute_mse,max_error,q99_99_error,num_samples
add,torch.float64,analytical,0.0,2.0255166890167107e-25,1.3234889800848443e-23,1.3234889800848443e-23,100000000
add,torch.float64,complex128,0.0,2.0255166890167107e-25,1.3234889800848443e-23,1.3234889800848443e-23,100000000
add,torch.float64,logspace,0.0,2.0255166890167107e-25,1.3234889800848443e-23,1.3234889800848443e-23,100000000
add,torch.float32,analytical,0.0,5.249622793277668e-08,9.5367431640625e-07,9.5367431640625e-07,100000000
add,torch.float32,complex128,0.0,5.249622793277668e-08,9.5367431640625e-07,9.5367431640625e-07,100000000
add,torch.float32,logspace,0.0,5.249622793277668e-08,9.5367431640625e-07,9.5367431640625e-07,100000000
multiply,torch.float32,analytical,0.0,0.7381501005366878,16.0,15.946973938393057,100000000
multiply,torch.float32,complex128,0.0,0.7381501005366878,16.0,15.946973938393057,100000000
multiply,torch.float32,logspace,1112149708255455.5,1112149708255456.2,1.0197853968779708e+16,9802811549799800.0,100000000
divide,torch.float64,analytical,0.0,3.380029852818147e-26,8.673617379884035e-19,5.169878828456423e-26,100000000
divide,torch.float64,complex128,4.143035190902016e-24,4.176835489430198e-24,1.249000902703301e-16,3.308722450212111e-24,100000000
divide,torch.float64,logspace,32098153.19129016,32098153.19129016,1539658738979456.0,25127949.513694853,100000000
divide,torch.float32,analytical,0.0,6.635943938305896e-08,4.274330070640027,2.198363036199652e-08,100000000
divide,torch.float32,complex128,-9.550179878878743e-09,5.680925950418022e-08,3.7347676664842955,1.1850150687288856e-08,100000000
divide,torch.float32,logspace,32106568.699872512,32106568.69987258,1539658778279293.0,25110567.00640891,100000000
subtract,torch.float64,analytical,0.0,2.878239478460337e-25,1.3234889800848443e-23,1.3234889800848443e-23,100000000
subtract,torch.float64,complex128,0.0,2.878239478460337e-25,1.3234889800848443e-23,1.3234889800848443e-23,100000000
subtract,torch.float64,logspace,0.0,2.878239478460337e-25,1.3234889800848443e-23,1.3234889800848443e-23,100000000
subtract,torch.float32,analytical,0.0,5.249451757855928e-08,9.5367431640625e-07,9.5367431640625e-07,100000000
subtract,torch.float32,complex128,0.0,5.249451757855928e-08,9.5367431640625e-07,9.5367431640625e-07,100000000
subtract,torch.float32,logspace,0.0,5.249451757855928e-08,9.5367431640625e-07,9.5367431640625e-07,100000000
multiply,torch.float64,analytical,0.0,7.9380679550008e-18,8.881784197001252e-16,2.220446049250313e-16,100000000
multiply,torch.float64,complex128,5.782039119035735e-16,5.861419798585743e-16,3.752553823233029e-14,2.220446049250313e-14,100000000
multiply,torch.float64,logspace,1112138266406380.1,1112138266406380.1,1.0197853200254482e+16,9802978775092588.0,100000000
