config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
exponential_0.8_0.5,add,exponential,"0.8,0.8","0.5,0.5",6.645196600872885e-33,100,6.645196600872885e-33,100
exponential_0.8_0.5,subtract,exponential,"0.8,0.8","0.5,0.5",2.9901870034389225e-33,100,2.9901870034389225e-33,100
exponential_0.8_0.5,multiply,exponential,"0.8,0.8","0.5,0.5",2.3002088562700458e-33,30,2.3002088562700458e-33,100
exponential_0.8_0.5,divide,exponential,"0.8,0.8","0.5,0.5",1.3232061087394211e-28,100,1.3232061087394211e-28,100
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",1.3180879650111582e-30,100,1.3180879650111582e-30,100
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",1.705001882107621e-31,100,1.705001882107621e-31,100
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3302.6003368034044,100,1.386421068773665e-28,100
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.2091317184581768,100,4.0412558395055125e-32,100
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",3.1203393106017124e-30,100,3.1203393106017124e-30,100
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",2.269554999352065e-31,70,2.269554999352065e-31,100
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",3.3463164055113234e-28,100,3.3463164055113234e-28,100
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",4.7493047242600356e-32,10,4.7493047242600356e-32,100
uniform_1.1_1.2_to_1.2_6,add,uniform,"1.1,1.2","1.2,6.0",3.3888047003855602e-31,100,3.3888047003855602e-31,100
uniform_1.1_1.2_to_1.2_6,subtract,uniform,"1.1,1.2","1.2,6.0",6.928111953103314e-32,100,6.928111953103314e-32,100
uniform_1.1_1.2_to_1.2_6,multiply,uniform,"1.1,1.2","1.2,6.0",4.2044290984857545e-30,100,4.2044290984857545e-30,100
uniform_1.1_1.2_to_1.2_6,divide,uniform,"1.1,1.2","1.2,6.0",3.5553413071241816e-32,100,3.5553413071241816e-32,100
exponential_0.8_0.5,add,exponential,"0.8,0.8","0.5,0.5",6.641999470766367e-33,100,6.641999470766367e-33,100
exponential_0.8_0.5,subtract,exponential,"0.8,0.8","0.5,0.5",2.8918780908997272e-33,100,2.8918780908997272e-33,100
