config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
exponential_0.8_0.5,add,exponential,"0.8,0.8","0.5,0.5",6.714280157016896e-33,100,6.714280157016896e-33,100
exponential_0.8_0.5,subtract,exponential,"0.8,0.8","0.5,0.5",2.909349529199194e-33,100,2.909349529199194e-33,100
exponential_0.8_0.5,multiply,exponential,"0.8,0.8","0.5,0.5",2.6487237412418602e-33,30,2.6487237412418602e-33,100
exponential_0.8_0.5,divide,exponential,"0.8,0.8","0.5,0.5",1.1114759626753962e-28,100,1.1114759626753962e-28,100
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",1.3467334766319962e-30,100,1.3467334766319962e-30,100
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",1.7154102900004447e-31,100,1.7154102900004447e-31,100
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3302.3488578911133,100,1.3653604547565273e-28,100
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.18646501346311936,100,4.0677951541391684e-32,100
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",3.1582046340523206e-30,100,3.1582046340523206e-30,100
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",2.288485203293342e-31,70,2.288485203293342e-31,100
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",3.3425298731662624e-28,100,3.3425298731662624e-28,100
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",4.7323180221505406e-32,20,4.7323180221505406e-32,100
uniform_1.1_1.2_to_1.2_6,add,uniform,"1.1,1.2","1.2,6.0",3.4219923251872406e-31,100,3.4219923251872406e-31,100
uniform_1.1_1.2_to_1.2_6,subtract,uniform,"1.1,1.2","1.2,6.0",6.874526045819817e-32,100,6.874526045819817e-32,100
uniform_1.1_1.2_to_1.2_6,multiply,uniform,"1.1,1.2","1.2,6.0",4.2243501474585186e-30,100,4.2243501474585186e-30,100
uniform_1.1_1.2_to_1.2_6,divide,uniform,"1.1,1.2","1.2,6.0",3.511068992527581e-32,100,3.511068992527581e-32,100
