config,operation,matched_mse_mean,matched_mse_std,universal_mse_mean,universal_mse_std,matched_epochs_mean,universal_epochs_mean
exponential_0.8_0.5,add,6.71697806201946e-33,9.247681486442249e-35,6.71697806201946e-33,9.247681486442249e-35,100.0,100.0
exponential_0.8_0.5,divide,1.3130801650731384e-28,1.2673510507181733e-29,1.3130801650731384e-28,1.2673510507181733e-29,100.0,100.0
exponential_0.8_0.5,multiply,2.425839258159086e-33,1.3368279532471341e-34,2.425839258159086e-33,1.3368279532471341e-34,38.0,100.0
exponential_0.8_0.5,subtract,2.9074974648299902e-33,6.03615111958702e-35,2.9074974648299902e-33,6.03615111958702e-35,100.0,100.0
normal_-3_3_to_8_10,add,3.1462336698155924e-30,2.2911141698269923e-32,3.1462336698155924e-30,2.2911141698269923e-32,100.0,100.0
normal_-3_3_to_8_10,divide,0.07300192953463001,0.2308523709165467,4.7553656257950225e-32,2.6218522878834852e-34,27.0,100.0
normal_-3_3_to_8_10,multiply,3.342375256428839e-28,1.628778507646851e-30,3.342375256428839e-28,1.628778507646851e-30,100.0,100.0
normal_-3_3_to_8_10,subtract,2.277428457618197e-31,8.307476760191899e-34,2.277428457618197e-31,8.307476760191899e-34,70.0,100.0
uniform_-5_5_to_-10_-5,add,1.3154945847852442e-30,1.428467033758183e-32,1.3154945847852442e-30,1.428467033758183e-32,100.0,100.0
uniform_-5_5_to_-10_-5,divide,0.18425966002891364,0.0656108930343663,4.027928404290353e-32,3.0736026411057192e-34,90.6,100.0
uniform_-5_5_to_-10_-5,multiply,3297.623889645729,6.449194506566732,1.372326096549629e-28,9.144172488752093e-31,100.0,100.0
uniform_-5_5_to_-10_-5,subtract,1.7134213674955113e-31,9.603151545577156e-34,1.7134213674955113e-31,9.603151545577156e-34,100.0,100.0
uniform_1.1_1.2_to_1.2_6,add,3.4264142603395538e-31,3.462862248412335e-33,3.4264142603395538e-31,3.462862248412335e-33,100.0,100.0
uniform_1.1_1.2_to_1.2_6,divide,3.5351673113273474e-32,3.319447938558967e-34,3.5351673113273474e-32,3.319447938558967e-34,100.0,100.0
uniform_1.1_1.2_to_1.2_6,multiply,4.2168069732011334e-30,4.0364361030962526e-32,4.2168069732011334e-30,4.0364361030962526e-32,100.0,100.0
uniform_1.1_1.2_to_1.2_6,subtract,6.937011879159781e-32,3.39833192554074e-34,6.937011879159781e-32,3.39833192554074e-34,100.0,100.0
