op,optimizer,threshold,mse
add,Adam(def),,5.615872614477203e-07
subtract,Adam(def),,3.676312921111347e-06
multiply,Adam(def),,21.79186310771295
divide,Adam(def),,4.52114483274716e-12
identity,Adam(def),,9.661011427647863e-06
reciprocal,Adam(def),,1.5996994282783262e-22
sin,Adam(def),,4.3091608085338684e-13
cos_add,Adam(def),,4.558237270984849e-13
add,Adam(β₂=0.5),,2.0116414947040223e-25
subtract,Adam(β₂=0.5),,2.941252805300782e-25
multiply,Adam(β₂=0.5),,5.847882223257971e-16
divide,Adam(β₂=0.5),,1.9769096660234161e-28
identity,Adam(β₂=0.5),,8.718848719898233e-24
reciprocal,Adam(β₂=0.5),,1.2203761945046209e-36
sin,Adam(β₂=0.5),,8.377795258084475e-36
cos_add,Adam(β₂=0.5),,3.509858511054632e-26
add,AdamW,,0.0010590582264813641
subtract,AdamW,,0.0066944915128252565
multiply,AdamW,,45384.24060342882
divide,AdamW,,1.4611847719446207e-08
identity,AdamW,,0.018868473151476644
reciprocal,AdamW,,1.3181458453459118e-07
sin,AdamW,,7.579935887702253e-10
cos_add,AdamW,,7.895108002292652e-10
add,RAdam,,4.474281673476726e-07
subtract,RAdam,,3.810647189744761e-06
multiply,RAdam,,20.118495005838774
divide,RAdam,,5.190647278032154e-12
identity,RAdam,,9.66940235229203e-06
reciprocal,RAdam,,9.403166739507025e-23
sin,RAdam,,4.015102060923714e-13
cos_add,RAdam,,4.638635564859846e-13
add,NAdam,,5.574013210401875e-07
subtract,NAdam,,3.6517173744473298e-06
multiply,NAdam,,21.635668917485322
divide,NAdam,,4.53407339370101e-12
identity,NAdam,,9.574610964223276e-06
reciprocal,NAdam,,1.6208187996823223e-22
sin,NAdam,,4.168852228710899e-13
cos_add,NAdam,,4.451612165274433e-13
add,RMSProp,,3.613329920413113e-07
subtract,RMSProp,,2.496348062314075e-06
multiply,RMSProp,,12.578681749450508
divide,RMSProp,,3.032360033810453e-12
identity,RMSProp,,6.234296777129908e-06
reciprocal,RMSProp,,7.032084463259243e-23
sin,RMSProp,,3.370313903439884e-13
cos_add,RMSProp,,3.2781319190982027e-13
add,Adagrad,,558.7986106733039
subtract,Adagrad,,566.1107610325382
multiply,Adagrad,,201185660631.67413
divide,Adagrad,,0.05212956627510024
identity,Adagrad,,3969.5435726356536
reciprocal,Adagrad,,1.2063268650893781e-08
sin,Adagrad,,9.708073008446571e-07
cos_add,Adagrad,,7.4870250155294645e-06
add,Adadelta,,3.5872464135106026
subtract,Adadelta,,24.80159467910807
multiply,Adadelta,,123218577.08566605
divide,Adadelta,,1.903901218127961e-05
identity,Adadelta,,60.49753795214676
reciprocal,Adadelta,,2.1745770575346195e-12
sin,Adadelta,,6.190403237555221e-06
cos_add,Adadelta,,3.1014036198489796e-06
add,Rprop,,2.0116414947040223e-25
subtract,Rprop,,2.941252805300782e-25
multiply,Rprop,,5.847882223257971e-16
divide,Rprop,,1.9769096660234161e-28
identity,Rprop,,8.718848719898233e-24
reciprocal,Rprop,,1.2203761945046209e-36
sin,Rprop,,2.756853396809108e-17
cos_add,Rprop,,3.5098539936644065e-26
add,SGD+mom,,2.0116414947040223e-25
subtract,SGD+mom,,0.045726382133962074
multiply,SGD+mom,,5.847882223257971e-16
divide,SGD+mom,,1.9769096660234161e-28
identity,SGD+mom,,8.948463864673576e-15
reciprocal,SGD+mom,,1.2203761945046209e-36
sin,SGD+mom,,1.1266179912327787e-06
cos_add,SGD+mom,,8.398975261279093e-07
add,Adam(def),1e-06,2.0116414947040223e-25
subtract,Adam(def),1e-06,2.941252805300782e-25
multiply,Adam(def),1e-06,5.847882223257971e-16
divide,Adam(def),1e-06,1.9769096660234161e-28
identity,Adam(def),1e-06,8.718848719898233e-24
reciprocal,Adam(def),1e-06,1.2203761945046209e-36
sin,Adam(def),1e-06,2.7480993950758823e-13
cos_add,Adam(def),1e-06,4.435630943473096e-14
add,Adam(β₂=0.5),1e-06,2.0116414947040223e-25
subtract,Adam(β₂=0.5),1e-06,2.941252805300782e-25
multiply,Adam(β₂=0.5),1e-06,5.847882223257971e-16
divide,Adam(β₂=0.5),1e-06,1.9769096660234161e-28
identity,Adam(β₂=0.5),1e-06,8.718848719898233e-24
reciprocal,Adam(β₂=0.5),1e-06,1.2203761945046209e-36
sin,Adam(β₂=0.5),1e-06,8.377795258084475e-36
cos_add,Adam(β₂=0.5),1e-06,3.509858511054632e-26
add,AdamW,1e-06,0.0006540014130418114
subtract,AdamW,1e-06,0.0066944915128252565
multiply,AdamW,1e-06,5.847882223257971e-16
divide,AdamW,1e-06,1.9769096660234161e-28
identity,AdamW,1e-06,0.011684189473213844
reciprocal,AdamW,1e-06,1.3181458453459118e-07
sin,AdamW,1e-06,7.579935887702253e-10
cos_add,AdamW,1e-06,7.895108002292652e-10
add,RAdam,1e-06,2.0116414947040223e-25
subtract,RAdam,1e-06,2.941252805300782e-25
